,Prediction
466,4592037.739801366
467,3568881.684505161
468,3850598.61701433
469,3918629.739335496
470,4606212.620609938
471,5320834.341578453
472,4495084.857218069
473,4275189.093406996
474,4634485.501763704
475,4272401.5944764605
476,4504333.140323895
477,4966060.170637064
478,4546483.953315153
479,4763454.979626195
480,3943689.359518713
481,6006624.022585191
482,4627775.846173877
483,5426835.504061429
484,4206298.9837606065
485,4035322.2157610487
486,4288091.671158744
487,4039345.310309415
488,4271974.6036261255
489,3697169.3776818593
490,4545639.473575123
491,3223706.2098540673
492,4994474.432666353
493,5012057.814877026
494,5004498.498497322
495,4916674.949116368
496,4761084.054363321
497,4321031.00680041
498,3703845.7314256504
499,4443575.045549646
500,4057476.4104757747
501,3114935.267849434
502,3922175.6644254136
503,5097870.04565474
504,3954325.4525632984
505,3586009.6900080936
506,4628183.438246668
507,4176379.3361974545
508,3505952.982714433
509,4715017.952168992
510,4267294.87955278
511,5050211.471945469
512,3132072.8770384025
513,4935708.556738084
514,3962839.2748880005
515,3083805.795882493
516,3579133.4138335534
517,4389686.4914693935
518,3896034.737376253
519,4955004.034410864
520,5151052.8348954795
521,5291444.002190482
522,5151971.215409527
523,4179691.681122945
524,3696724.7987446627
525,4149740.091348107
526,3674640.573985471
527,4210984.071236001
528,5091034.346261524
529,3831374.0911718025
530,4408217.720370534
531,4322019.821274952
532,5325529.407395234
533,3242627.471516142
534,5184264.855446121
535,4708872.491764467
536,3886181.461007583
537,4008573.766493012
538,4266776.652386501
539,5782883.071197804
540,4300846.800438132
541,3900127.7011515494
542,3925417.3218210144
543,4486781.960725909
544,3912186.096886687
545,4345021.569848968
546,3118969.422281858
547,4345673.824050967
548,4635700.283592416
549,4549672.801977857
550,4088257.81159764
551,3853427.643112652
552,4305627.230955887
553,4690009.50782745
554,3920047.3378928723
555,5284353.563310468
556,3212432.9105574377
557,4629372.2744764555
558,4628011.221340512
559,4007693.8151233764
560,4382130.84547877
561,5853778.716657023
562,3990551.6470648893
563,4260905.870159192
564,3899520.523660437
565,4454429.968123898
566,3645883.4967200216
567,5351593.868616512
568,4294350.928721577
569,3917178.407432606
570,4020534.061763655
571,4012143.2397712595
572,4288852.286901724
573,4209016.336250661
574,4509430.642755896
575,3205151.9830733836
576,6014404.079915091
577,4669701.141290439
578,3906579.9749510055
579,3893338.289615835
580,4136139.221316858
581,5714333.157229012
582,4948109.152193492
583,5187283.623838186
584,4297241.122492139
585,4549866.730391069
586,3902417.5030784407
587,4680322.542169899
588,3302512.5089625902
589,3914235.683102434
590,4695444.191250477
591,3535582.484667302
592,4653268.360921096
593,3977852.0589326527
594,4263313.768966315
595,4028524.0559950457
596,4741578.030177846
597,3896654.2388509745
598,4931398.54203867
599,5063555.071511725
600,5018657.865320518
601,4133363.8704394833
602,4717684.564539197
603,3582860.554685559
604,3609116.5079370574
605,3580328.999926475
606,3594107.978362299
607,4008828.7720330106
608,4023143.101541694
609,5593036.946128396
610,5082196.286954252
611,3475565.3353838027
612,4693720.987417683
613,4814758.761202538
614,5356084.300959479
615,4108875.5858183326
616,5091264.600608382
617,5643284.46041612
618,5052157.47616483
619,3945580.7521891273
620,4256949.914991602
621,5199701.494722162
622,5125860.837176799
623,4798098.666712074
624,4359090.532175717
625,4625184.820517468
626,4164331.9987423914
627,4412594.941381918
628,3734105.6008433956
629,4354849.228729966
630,5143689.536866773
631,4637421.1419958
632,4617821.729268414
633,5799415.1660018815
634,3507860.264777182
635,4610055.310379115
636,4587555.566603463
637,3637751.837866274
638,3877246.158671473
639,4349492.493099985
640,4168911.058334304
641,5142886.660162891
642,3879199.8553061313
643,4157356.330231577
644,4766364.819692488
645,3177051.2114512203
646,5111180.569947589
647,3880773.0659225993
648,3951940.650210364
649,3949611.5414615856
650,3760444.1982141775
651,4662246.660724653
652,5032938.588153115
653,4046043.113395128
654,3849352.42513036
655,5842286.000100616
656,4301713.087554743
657,3995496.5925618685
658,4585872.257528346
659,3829095.9338979996
660,5000158.167127673
661,5832286.400218848
662,5034927.568353925
663,5742011.581416288
664,3639135.0775026456
665,4630955.821758226
666,4315767.092577918
667,3566302.852159756
668,4617268.189497525
669,4058004.6327768397
670,5222345.943260159
671,4485235.295053967
672,3956812.5879195333
673,3937306.1709922333
674,5341964.424310481
675,4002324.7971119466
676,5076933.574653131
677,3554082.9238826865
678,4571364.017332309
679,4624366.387953285
680,3267050.5528475596
681,5368919.010983479
682,3187977.0150184333
683,4201475.55944859
684,3568908.0137099605
685,4170259.906448352
686,3853156.2453957233
687,3078215.5473886933
688,4742593.870291694
689,4662081.836774364
690,3898316.6777318968
691,3469611.9664063854
692,4313521.217433219
693,3550031.2591098365
694,3209895.4393291217
695,3888579.024354932
696,4594351.537074041
697,4211684.966261339
698,3970340.750661331
699,3944621.9794536713
700,4623136.811561172
701,3833887.636013615
702,4727109.569742639
703,4600984.909687553
704,4516801.956235809
705,5277191.418758641
706,4538716.2049840335
707,4698773.356796673
708,5480818.727078866
709,3985546.064558033
710,4911766.763386567
711,5337142.240429194
712,4587147.581794195
713,3939923.9169426
714,4731340.176871457
715,4074553.2196393358
716,3650876.7577855117
717,4278723.996619776
718,5294649.914333277
719,5047273.142104858
720,5019779.076309104
721,5020501.290556461
722,4753854.0890848795
723,3645244.3780018357
724,4283542.515353545
725,4520139.9186279895
726,3980592.3491873136
727,3943759.3643586277
728,3909732.7679386246
729,5082677.511979468
730,3569664.4283280373
731,5167930.031185857
732,4214453.125788822
733,5160991.291193346
734,4719017.885909371
735,4191468.3084102497
736,4389248.759060413
737,3692008.8313115644
738,4003327.4252609923
739,4007751.262593285
740,4765583.236523903
741,4167899.4073932506
742,3926332.4169079955
743,4295635.022130133
744,4910913.094208779
745,4346427.264541553
746,3207480.2825484597
747,4251364.468298297
748,4339952.405513163
749,4636567.041440727
750,5932465.131305492
751,3972246.628131914
752,3993326.871867677
753,3133231.023108116
754,3641941.761535545
755,3530076.606581538
756,3621568.197684692
757,4600643.145399821
758,3915340.2211247906
759,5040563.70462531
760,4433810.196012952
761,4312144.468725138
762,4251558.025682883
763,3881440.733526373
764,5024491.54975611
765,4196996.639982035
766,4222138.778316023
767,3941584.5765369465
768,3331886.1816972923
769,4163591.828519526
770,4027851.1084461506
771,3255335.073802555
772,4673893.979980067
773,3566598.5250431136
774,3322580.420184235
775,5076637.101281471
776,3529156.3245639163
777,3287235.1479176246
778,3821857.8663559435
779,3212958.963193206
780,3934372.720061321
781,3977117.7470081914
782,4771791.695975033
783,4307509.016102226
784,4539920.441790697
785,4299904.081523362
786,4272430.402687264
787,4384031.972269539
788,4582222.561881938
789,5016146.283522874
790,3935733.028773985
791,4994671.930955743
792,3493907.533774979
793,3170238.953628068
794,3580508.5529750586
795,5501520.917987463
796,3565319.697625111
797,4190239.2207560027
798,4336614.610724492
799,5297916.544038776
800,4930368.506220983
801,4509664.127001758
802,3863636.8968449663
803,4520409.900582042
804,4179657.3604742205
805,3630099.173001966
806,5780399.304366723
807,4598806.502096569
808,4573474.551644779
809,3517112.2235059533
810,5696614.160890013
811,4674492.989817704
812,3568186.8911413727
813,3262674.9344970277
814,3112906.234430454
815,4754882.654491868
816,3903725.457096537
817,3476501.6154714646
818,3605831.385611618
819,3921259.641364247
820,3891419.6957017793
821,4429438.80495239
822,3872160.5259526735
823,4360326.227959859
824,3643002.54290346
825,4709086.87920207
826,5750148.990126015
827,3514969.8245742675
828,5375408.456339824
829,4059168.937972026
830,4601935.733523099
831,5655821.771072949
832,5191101.25544052
833,5016670.7019428015
834,4214186.262093136
835,4560640.91419198
836,3100220.7143882634
837,4626508.724206942
838,4621930.299495102
839,3064716.7789526824
840,3998208.316384144
841,3866790.285957348
842,4250049.622865869
843,3551981.7188896197
844,4514019.828169276
845,4249648.825669661
846,3907750.330829207
847,4163471.727234561
848,3868832.596013043
849,4607675.4351232005
850,4635849.961526588
851,3951137.702283153
852,5025358.102792964
853,3921312.551942519
854,4635359.634816069
855,3949323.8180795596
856,4813105.217177633
857,3842380.9270172017
858,3899204.4748008735
859,4526652.9852091195
860,3552919.339057464
861,5570910.374989039
862,5114056.681091657
863,4660420.407664837
864,4857078.549012089
865,5122845.231438041
866,3241661.1044744803
867,3492480.9978343803
868,3836946.6291850246
869,4953582.470542765
870,3904870.5629912363
871,4717948.022860028
872,3945303.339115692
873,4619639.3755030725
874,4593393.194693368
875,4050562.5052344813
876,4314949.168641454
877,5865419.324947273
878,3070310.8808722743
879,4964726.254301937
880,3808615.7101849816
881,3271856.010122101
882,4690679.957362375
883,4651673.587767295
884,4376755.423565903
885,5072695.845839278
886,3645904.5311652585
887,4810811.871893739
888,4298299.545615092
889,5059228.727421647
890,4275729.493430374
891,4266100.307042553
892,5792174.547636915
893,3909065.4961110316
894,5444746.80438916
895,4259649.605558517
896,3642647.7186189597
897,4175800.9223929737
898,3704646.9308738485
899,5638894.53790429
900,3324061.455031247
901,5445943.033918369
902,4195182.065630087
903,4653217.569163325
904,3553636.274833525
905,4947278.937352609
906,4661011.095870789
907,4769984.04765017
908,5665984.606221452
909,4355299.986600923
910,4402095.426915557
911,4722740.63835501
912,4370459.926363833
913,3875169.4083755054
914,3922495.3115126817
915,4985021.202423619
916,3466522.5935720094
917,5311923.185443856
918,4670779.158075359
919,4246125.886752576
920,4425196.264726878
921,3550462.527363271
922,4961364.073822787
923,4263961.796376163
924,5147656.23650074
925,4690963.259494652
926,5356309.855930967
927,4662231.527244868
928,5054751.64540654
929,4880109.631978796
930,4913703.168518545
931,3983038.2147332546
932,4974786.513401815
933,5074733.227953374
934,3732029.905884985
935,3965156.6573644397
936,3848024.7914868244
937,4347790.931194456
938,3920403.479235761
939,5297960.199556714
940,5351668.343328383
941,3970601.299379995
942,3978576.1831978597
943,4665257.324937118
944,4142904.5478047463
945,3492252.174504418
946,5089420.624066803
947,3681523.073858031
948,3623952.1190402014
949,3983935.300942486
950,5472454.608103506
951,3606782.5687060338
952,3491026.344484772
953,4261917.537148303
954,4949723.752016202
955,4363097.680420554
956,4616934.088006694
957,4808846.960936573
958,5065541.047121657
959,4032964.4707290838
960,5002092.393875237
961,5011551.822904172
962,5635829.052594125
963,4237088.091518732
964,5753744.492178294
965,4288385.12133379
966,4228560.954886365
967,5050021.648891549
968,4019282.427269458
969,4046082.467744849
970,3196174.2549899905
971,3300358.119274373
972,3566118.204160274
973,3462600.0917698382
974,4224644.524937853
975,3547841.3880050248
976,3513505.500295527
977,5426131.78505695
978,4625163.391559405
979,5076426.458656608
980,4727193.477484691
981,3472225.0781838107
982,3250234.552958388
983,4715635.873561297
984,4343643.206293347
985,4581919.62128441
986,4602062.189967812
987,5335743.861372936
988,5726018.132578303
989,3719965.693598258
990,4588661.642963627
991,3174731.142286029
992,3983638.0508663803
993,4398000.617750556
994,3965716.61651594
995,3183973.9374054642
996,5052756.0749622015
997,5710383.04258561
998,3442322.3084483654
999,4927131.844326389
1000,4560870.0082957875
1001,3808946.741562671
1002,4557823.514914323
1003,4946627.097126094
1004,4253799.37263566
1005,4613820.447058526
1006,5059221.829427525
1007,4524843.070108683
1008,3548079.4761379287
1009,4272481.621868815
1010,3977517.132705858
1011,5021686.592602001
1012,4009254.2707062433
1013,4951450.417107878
1014,4866248.696682976
1015,3612118.388254401
1016,5571142.813110879
1017,3649106.4653978366
1018,4010344.0585744986
1019,4641755.630656976
1020,4346392.438174191
1021,4353189.942634328
1022,4437904.068463528
1023,5035190.388038984
1024,4686304.86055211
1025,3295805.1737290677
1026,4970905.573443534
1027,4247431.031585553
1028,5562041.999747713
1029,4597946.64943887
1030,4659835.799933827
1031,4262282.205765303
1032,3454745.93936682
1033,5110958.251742065
1034,5039813.126167013
1035,3939720.9806515016
1036,4395122.263689826
1037,4631584.9167868635
1038,4957766.890119341
1039,4153450.4442705014
1040,3316953.7193460013
1041,3950655.181290427
1042,3482743.2077648705
1043,4150238.7083042646
1044,5790243.983875393
1045,5353664.509992177
1046,4364924.322172098
1047,5494492.7649294995
1048,3810089.069910062
1049,3524589.363764053
1050,4199606.044804511
1051,3838801.0098324763
1052,3264515.268589683
1053,4187761.558170184
1054,4987110.148518667
1055,3093330.7493875027
1056,5912134.7716158
1057,5631086.224144107
1058,3975749.8536357298
1059,4340801.763232897
1060,4294982.798541037
1061,5056467.343376702
1062,4583562.872528533
1063,4512517.8250940265
1064,5039952.132403962
1065,5035025.077825167
1066,4846809.829239893
1067,4364927.321742489
1068,4370809.962905448
1069,3921941.1180911516
1070,3874789.06725125
1071,3588429.509847452
1072,4406616.370165959
1073,4949530.579880584
1074,5340059.58146049
1075,4610126.732286502
1076,3381903.4947142126
1077,3916949.7882112633
1078,3675201.5456024464
1079,5098090.196881589
1080,4663936.346328103
1081,5017407.288912326
1082,3533035.112814811
1083,4715268.176708382
1084,3865506.849525123
1085,3083962.4673754643
1086,5028461.491927652
1087,4247719.737675038
1088,4591671.883117173
1089,3279235.96817977
1090,4652718.8928795075
1091,3949136.9999591988
1092,4201320.027838483
1093,4943592.818552575
1094,4611761.062423015
1095,4210400.463166905
1096,3866655.494163179
1097,3516442.372520212
1098,5134525.0086429035
1099,5081828.071287083
1100,3988615.6375261587
1101,4653427.098320536
1102,4035459.301513635
1103,4293199.414651728
1104,4843550.233188049
1105,4604821.259488413
1106,3938188.988904696
1107,5024236.665998939
1108,4644066.0923073115
1109,5366244.899158777
1110,4273347.877528324
1111,3962594.866599872
1112,4260851.8356747255
1113,3617858.775827634
1114,4404470.923332709
1115,3953446.88347165
1116,4268975.684946553
1117,4983216.665588217
1118,4501529.824180171
1119,3524462.736859096
1120,4244451.691716869
1121,3971993.730169637
1122,4263318.888706125
1123,4015939.0977025023
1124,3873759.962273547
1125,4991900.211573739
1126,4214215.149695928
1127,4003450.2828110065
1128,3934546.995490679
1129,4588600.939407979
1130,4592650.25417418
1131,4303634.95433883
1132,3786540.498066088
1133,4538759.837160273
1134,4680083.233023626
1135,3095102.333965585
1136,4387717.497813169
1137,4302652.7205077
1138,3474161.978597696
1139,4751547.678123196
1140,5295828.8069689125
1141,3967193.7990172496
1142,5379082.286008816
1143,3529593.285948984
1144,4297107.807803785
1145,3973169.0567292552
1146,3899140.269592425
1147,5763651.73100013
1148,4315292.558561621
1149,5869366.648403144
1150,3962399.2030284693
1151,3880285.757916258
1152,4059020.934152838
1153,4158660.51956393
1154,3304797.0392653653
1155,3576904.18694421
1156,4037029.427143104
1157,4974260.545385763
1158,4262233.3167893505
1159,3979058.5091922237
1160,5094002.449705963
1161,4963105.133537467
1162,5086327.756718709
1163,3774569.980140154
1164,5319099.700993803
1165,4275443.301458699
1166,4352374.3145004725
1167,4971955.628261006
1168,4333578.7400180325
1169,4718092.895870395
1170,4102148.930529937
1171,4651024.067627884
1172,3075512.3856315305
1173,4599272.028653466
1174,3641941.761535545
1175,3991681.3653911585
1176,4189514.447710586
1177,5093422.580229635
1178,3538706.779010334
1179,5396089.263838332
1180,5391358.924402376
1181,4658627.123046231
1182,4501715.751330515
1183,4592224.23767921
1184,4037823.3814351503
1185,3166647.8035657816
1186,4372652.262123099
1187,4599891.739307059
1188,4493978.447496912
1189,4636226.324485187
1190,5674490.530751041
1191,4078153.395363076
1192,4349553.965267764
1193,3976105.8342242655
1194,5774896.676070292
1195,4245812.339804575
1196,3931165.1869863975
1197,5041036.755806134
1198,4878368.314484969
1199,4020250.7580878776
1200,5288682.383917304
1201,3864729.004565676
1202,4281130.346548432
1203,3522731.721307383
1204,3958270.5658417633
1205,4056731.8315016343
1206,4378689.349164166
1207,3301472.91552826
1208,4336461.324326256
1209,4183924.536422028
1210,4622808.026816089
1211,4458865.299073354
1212,4165155.558459036
1213,5560055.87246588
1214,5679905.552148816
1215,5042735.543148378
1216,3914707.407849936
1217,3943334.5767775117
1218,3989308.7817923212
1219,4919306.968386852
1220,4179183.39303607
1221,5375466.738194
1222,4191911.0295173326
1223,4432309.551676568
1224,4021422.5376905557
1225,4966675.991596775
1226,4078333.407436664
1227,5982196.538708504
1228,4529738.6098777875
1229,3708024.5941905584
1230,4178948.8340472993
1231,4501420.461490671
1232,3138924.0032604234
1233,4945995.468497164
1234,4612322.959497608
1235,3567927.357604196
1236,3898099.5591961546
1237,3602913.999369891
1238,4932481.203098587
1239,5027502.384823188
1240,3862595.076582007
1241,4609360.573506847
1242,5860586.438237067
1243,3859754.2884483924
1244,5113025.051589539
1245,3946646.8347968897
1246,4267219.006402337
1247,5123661.32980885
1248,4285333.700082407
1249,5030311.140227366
1250,4618334.299919369
1251,3574091.3486468517
1252,4604514.830852891
1253,5454168.259539305
1254,3940206.2256940785
1255,3549612.3702113032
1256,4692177.83579638
1257,4624015.553155252
1258,5738378.279266592
1259,3620709.770357843
1260,4584333.802591788
1261,4155141.767346816
1262,4644102.025042498
1263,3158348.964464914
1264,4408704.832264209
1265,4422004.432153459
1266,3216049.469298118
1267,4267176.307611604
1268,3922083.464494911
1269,5171015.973469259
1270,3241665.5149930427
1271,5086920.458027889
1272,5783869.553171364
1273,3514966.911653924
1274,3437646.414738384
1275,4643623.411926589
1276,3593032.5508861914
1277,3941896.1398394145
1278,3625828.5180938384
1279,3924567.0494851368
1280,4366889.505201019
1281,4398338.341299804
1282,4380479.813000782
1283,3159613.0895835175
1284,4200811.384674483
1285,5102296.774203626
1286,3514326.5575199923
1287,4406970.614609736
1288,3880486.1151443813
1289,3942949.896947568
1290,3941240.4852027716
1291,3884991.454265585
1292,5120094.663245181
1293,4863317.703492631
1294,4766648.894100108
1295,4228840.008898525
1296,4616311.45320954
1297,4275830.139539539
1298,3512291.0096020447
1299,3278912.7989751045
1300,5502697.389495048
1301,3873352.760148084
1302,4867467.655105748
1303,4081062.832234397
1304,4449873.662104467
1305,4100711.797558169
1306,4733434.2119415505
1307,4984416.298383518
1308,4719773.961229321
1309,4021062.9028227506
1310,4219138.653848032
1311,4418846.238221427
1312,3846261.1487293188
1313,4729428.294120842
1314,5150596.534249237
1315,4613194.3555322895
1316,4407254.146032268
1317,3757701.6698651714
1318,5750708.624638993
1319,5307800.462990476
1320,5432184.9175189305
1321,3920661.297940367
1322,4057930.2844027346
1323,3253545.527990292
1324,5738499.991297267
1325,4676928.4600667395
1326,4282071.729819134
1327,5121828.024046362
1328,3929247.021411863
1329,4188802.4900525482
1330,4983551.138351946
